Number Of Reviews',Reviewer Name,Location,Review Date,Review Title,Review Text,Date Of Experience,Star Rating,Response Date,Response Text,Bakery Name,Overall Rating
1 review,Africa Sprigg,GB,09-Dec-22,Use them!…,We have used this small locally run business more than once and should stick to using them as our produce is always of the very best quality. We can’t get the same anywhere else!,Date of experience: 09 December 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,SASHA,GB,07-Jan-22,Highly recommend,"Always great products totally fresh with lots of life.
Delivery guy is always friendly, helpful and all my orders have always been in the time frame never late.
Great prices too for such great quality.

Highly recommend",Date of experience: 07 January 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Gemma Taft,GB,17-Jan-22,Amazing,"Prompt delivery, amazing produce (even my kids ate veg and salad this weekend, my son said the sausage roll cook is 'amazing, it's the best he's ever had' and so much value for money, will be ordering again, thank you :-)",Date of experience: 17 January 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,Denise Ward,GB,Updated 16 Feb 2022,We Deliver Fresh is an excellent…,"We Deliver Fresh is an excellent service, the products are really fresh, staff very professional and very helpful and considerate. We've now had 4 deliveries and will continue with the orders. The fruit, vegetables and bread products are really high quality.",Date of experience: 16 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
1 review,Milena,GB,28-Jul-22,Recomment to everyone!,"I ordered vegetables, fruit and meat.  Everything very tasty, much better than from great shops.  The fruits are juicy and sweet, my children eat them with a smile.   In addition, the service is amazing and they will always help.  I recommend it to everyone!",Date of experience: 28 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
1 review,Philip Coker George,GB,29-Sep-23,I'm quite new to the U.K so its a…,I'm quite new to the U.K so its a hassle knowing where to get fresh fruits and Veggies. They delivered in god time and I got exactly what they put up on the website,Date of experience: 22 September 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
16 reviews,BEVERLY WOOD,GB,24-Apr-22,I was impressed everything was very…,I was impressed everything was very fresh and there were lots of items for the money I've tried a few companies and this is definitely best value for money will be ordering again soon,Date of experience: 24 April 2022,Rated 5 out of 5 stars,04-May-22,"Thanks so much for taking the time to share your kind words with us Beverley, it's greatly appreciated.",We Deliver Fresh,4.9
6 reviews,MRS TWIGDEN,GB,19-Jul-23,Very good website.,"Very good website.
Everything you need is on there Reasonable prices Delivery on time Friendly delivery staff",Date of experience: 17 July 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,Carol S,GB,10-Jun-23,"Lovely fresh fruit and veg, couldn’t have picked better myself","First order, really impressed with delivery times. Fruit and veg were very fresh and of good quality. Will definitely use again",Date of experience: 08 June 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
38 reviews,patricia,GB,16-Jul-23,Always very pleased with my orders from…,"Always very pleased with my orders from we deliver fresh. The goods always look lovely and fresh, and always delivered with a smile and a cheery word",Date of experience: 14 July 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
11 reviews,Julia,GB,25-Feb-23,Good selection of fruit and veg,Good selection of fruit and veg. But sadley no bananas. Plenty of toms cucumber and eggs will be having another order,Date of experience: 16 February 2023,Rated 4 out of 5 stars,15-Mar-23,"Hi, so happy that you felt the selection was good. I have just checked your order and no bananas had been ordered. Please feel free to order again and add our great fresh bananas",We Deliver Fresh,4.9
20 reviews,morag mathieson,GB,13-Apr-23,Easy and quick to order online,Easy and quick to order online. Always delivered on time. Love the freshness of the produce. Only downside now you have to spend 30 for free delivery when it used to be 10.,Date of experience: 10 April 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
9 reviews,Customer,GB,18-Mar-22,Easy 5 ??  been using this service for…,Easy 5 ??  been using this service for months  now never been late their products  have always been fresh  from tea cake to tomatoes  better than excellent .,Date of experience: 18 March 2022,Rated 5 out of 5 stars,21-Mar-22,"Cheers for this, we really appreciate your kind words. Happy to hear you enjoy what we offer.",We Deliver Fresh,4.9
13 reviews,Ann Barnes,GB,10-May-22,Delicious food,"Delicious food love the crispy rolls, pasties and cakes all so fresh and delivered to your door from a very pleasant young man. Would highly recommend.",Date of experience: 09 May 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Mr D J Villgggio,GB,08-Dec-21,Been using we deliver fresh for over a…,Been using we deliver fresh for over a year now and every order I have received has been fresh and on time . Drivers have been polite will continue to use in the future .,Date of experience: 08 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
1 review,Ebony Scotland,GB,02-Feb-22,Amazing definitely recommend,Super quick delivery and the food is such good quality and really fresh honestly cannot recommend you guys enough! Will definitely be ordering again,Date of experience: 02 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
10 reviews,Michel,GB,08-Feb-23,Absolutely fantastic,"Absolutely fantastic, the quality of the vegetables and fruits is excellent. The delivery was prompt and very pleasant. It was my first delivery today, and I will definitely order again. Top service.",Date of experience: 08 February 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Miss Elizabeth july,GB,11-Nov-21,As expected,"As expected, first class service & great meat selections from local butchers. Vegetables top quality and fresh. Thank you",Date of experience: 11 November 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
5 reviews,Shelley,GB,27-Jan-23,The best on the Fylde,"Fabulous company fabulous customer service. Nothing too much trouble  . Wonderful fresh and tasty produce , lasts longer too x",Date of experience: 23 January 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
11 reviews,Deborah,GB,02-Nov-22,The service and quality of the products…,"The service and quality of the products is second to none. Use this service on a weekly basis more or less and drivers are always polite, very efficient and friendly.",Date of experience: 31 October 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
39 reviews,Mrs Eileen Askey,HU,17-Nov-22,ABSOLUTELY EXCELLENT,Lovely fruit and veg.  Lasted a long time.  The bakery goodies are certainly yummy too.  Very polite and excellent delivery.,Date of experience: 16 November 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
39 reviews,Lesley Driver,GB,07-Jun-23,Produce nice and fresh.Delivered in a…,"Produce nice and fresh.Delivered in a very pleasant and helpful manner.

Shame the choice of delivery days have been cut down.",Date of experience: 29 May 2023,Rated 4 out of 5 stars,21-Jun-23,We are sorry we have had to cut 2 afternoon delivery slots in the week we still do deliveries 6 mornings and 3 afternoons a week. We hope to get all delivery slots back open soon,We Deliver Fresh,4.9
5 reviews,Michelle Kuczynski,GB,20-Nov-21,Great firm,"Always good fresh veg, fruit, scones are gorgeous. Delivery guys are super friendly. Next day delivery.",Date of experience: 20 November 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Mrs Christine Duckett,GB,20-Feb-23,What can I say great staff,"What can I say great staff, orders delivered on time could really do with a more extensive Choice.",Date of experience: 10 February 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Stacey Bo,GB,30-Mar-22,Amazing service and produce as always,Amazing service and produce as always. I’m a regular customer and have had no complaints. Keep up the good work guys,Date of experience: 30 March 2022,Rated 5 out of 5 stars,31-Mar-22,Thank you so much Stacey. We're glad you enjoy what we do and your kind words mean the world to us!,We Deliver Fresh,4.9
3 reviews,Margaret Barnes,GB,11-Nov-21,Thank you for another brilliant order…,Thank you for another brilliant order delivered today from We deliver fresh. Excellent service and quality of goods. Very polite and efficient driver.,Date of experience: 11 November 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
6 reviews,Ian G Pendlebury,GB,04-Dec-21,Always quality promptly delivered,"Always quality promptly delivered. Highly recommend.
Today as te storm raged no need to shop outside , a boon",Date of experience: 04 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
1 review,STEVIE FLEMING,GB,14-Dec-21,Very good choice of food delivery…,Very good choice of food delivery great. I live in a upstairs flat the drawers always deliver it to my door as I work from home.,Date of experience: 14 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
11 reviews,Michelle Docherty,GB,10-Dec-21,Best ever,"Best ever
Great delivery men so helpful and friendly
Food better than any supermarket so fresh",Date of experience: 10 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,sarah smith,GB,05-Aug-22,the food is so fresh,"the food is so fresh, been very happy with every order we've made and will continue to buy our fresh fruit from here",Date of experience: 05 August 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,Mr anthony pettinger,GB,14-Jun-23,Simple to use site,"Simple to use site, low minimum order, very good quality, and service with a smile.",Date of experience: 11 June 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,LINDA BLAKE,GB,21-Jul-23,Order was correct and produce was…,Order was correct and produce was fresh. Delivered by pleasant and helpful man.,Date of experience: 21 July 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
26 reviews,Peter,GB,08-Jul-22,Quick delivery and great quality,As usual our weekly delivery was delivered promptly with fruit and veg of an excellent quality.,Date of experience: 08 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Michelle kuczynski,GB,04-Aug-23,Love this company,Love this company. Everything fresh and yummy. Always deliver on time plus friendly.,Date of experience: 26 July 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
5 reviews,Hayley Chamberlain,GB,01-Mar-23,We deliver fresh,"I would like to say everything that I have ordered is amazing I would highly recommend (we deliver fresh), you won’t be disappointed at all , I’m going to put in other order has can’t stay away , everything is amazing and good for the value, if you can pop that way and have look",Date of experience: 01 March 2023,Rated 5 out of 5 stars,15-Mar-23,Thank you so much for taking the time leaving us a review. We always love to hear positive feedback,We Deliver Fresh,4.9
9 reviews,Mrs Boston,GB,06-Apr-22,I've just moved from a house to a flat,I've just moved from a house to a flat. Frank (I hope that is his name) still managed to find me and brought the boxes upstairs for me. Top quality produce as usual.,Date of experience: 06 April 2022,Rated 5 out of 5 stars,,"Frank is his name, and we're really glad to hear he managed to find you!",We Deliver Fresh,4.9
6 reviews,mandy travis,GB,06-Apr-22,everything is beautifully fresh…,"everything is beautifully fresh mouthwatering lovely looking forward to enjoying all the products we purchased which was a mixture of fruit , vegetables, fresh and cooked meat and bakery",Date of experience: 06 April 2022,Rated 5 out of 5 stars,07-Apr-22,Thanks for your lovely words Mandy! Your feedback really does mean the world to us.,We Deliver Fresh,4.9
8 reviews,Pat,GB,06-Mar-22,Lovely Gentleman delivered our produce,"Lovely Gentleman delivered our produce, all produce fresh, good value for money",Date of experience: 06 March 2022,Rated 5 out of 5 stars,11-Mar-22,"Thanks for taking the time to leave this wonderful feedback Pat, we really appreciate it.",We Deliver Fresh,4.9
1 review,Pamela  Rich,GB,02-Dec-21,Good service,I have had quite a few orders delivered now .the drivers  are always friendly and helpful.The produce is always very fresh .,Date of experience: 02 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
14 reviews,Jackie Waite,GB,12-Aug-22,Deliver fresh exactly what it says,"Exactly what it says on tin food is really fresh . Though cream cake was sweet imitation cream.
Would use again.",Date of experience: 12 August 2022,Rated 4 out of 5 stars,,,We Deliver Fresh,4.9
63 reviews,Tony Young,GB,03-Mar-22,Always incredible produce  delivered to…,Always incredible produce  delivered to the door. I am now used to wednesday delivery. Great quality and great selection.,Date of experience: 03 March 2022,Rated 5 out of 5 stars,11-Mar-22,"Cheers for this Tony, we're glad to hear you're enjoying our servicer!",We Deliver Fresh,4.9
83 reviews,Rebbecca Holden,GB,23-Jun-23,Excellent service my friend got me a…,Excellent service my friend got me a voucher to use definitely be ordering again amazing items,Date of experience: 21 June 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
6 reviews,Lindsey,GB,15-Mar-22,Excellent service,Excellent service.   Very polite and delivered on time.  Lovely fresh produce.,Date of experience: 15 March 2022,Rated 5 out of 5 stars,16-Mar-22,"Hi Lindsey, reading this type of feedback makes our day. Thank you so much.",We Deliver Fresh,4.9
4 reviews,Kemzy,NG,01-Nov-23,Awesome service!,"Awesome service!
You get what you order and get value for your money.",Date of experience: 17 October 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
16 reviews,Julie Whittaker,GB,30-Sep-23,Love this company,"Love this company, excellent produce & great service. Would highly recommend.",Date of experience: 29 September 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,A Wilson,GB,26-Oct-22,Always order from here everything is…,Always order from here everything is fresh taste delicious,Date of experience: 26 October 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Amanda Elks,GB,19-Aug-22,Everything arrived beautiful and fresh,Everything arrived beautiful and fresh. Many thanks for the prompt services,Date of experience: 19 August 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
1 review,Pat Gough,GB,11-Feb-22,Very good service always polite and…,Very good service always polite and deliver on the time you want,Date of experience: 11 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
26 reviews,Colin,GB,09-Sep-23,Same quality produce delivered with the…,Same quality produce delivered with the same smile.,Date of experience: 06 September 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Linda Fullarton,GB,17-Feb-23,Fruit and vegetable,Fruit and vegetables were really fresh and bagged and packed and delivered on time,Date of experience: 17 February 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,David,GB,05-May-22,Good local produce easily on hand.,Good local produce as and when you need it. All reasonably priced.,Date of experience: 05 May 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
32 reviews,Paul Moye,GB,23-Mar-23,As always the same answerBLOODY…,As always the same answerBLOODY OUTSTANDING FRESH FOOD.,Date of experience: 22 March 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
9 reviews,Judith Buffham,GB,11-Nov-21,Delivery on time fresh produce and a…,Delivery on time fresh produce and a very pleasant driver,Date of experience: 11 November 2021,Rated 4 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Susan Edington,GB,10-Jan-22,Excellent service friendly staff and…,Excellent service friendly staff and produce is brilliant less waste recycle packages,Date of experience: 10 January 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
13 reviews,Malcolm Hale,GB,16-Jul-22,Delivered on time and quality of meat…,Delivered on time and quality of meat ordered is exceptional,Date of experience: 16 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
9 reviews,Collin Bonney,GB,10-May-22,Very pleased with delivery and products…,Very pleased with delivery and products will be buying again,Date of experience: 10 May 2022,Rated 4 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Customer,GB,11-Feb-22,Fast and efficient service,Fast and efficient service. Hood quality fruit and veg.,Date of experience: 11 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Darren Blackwell,GB,02-Nov-22,Great service ..,"Great service ... Easy to order, efficient and friendly",Date of experience: 02 November 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
11 reviews,Michelle,GB,26-Feb-23,Excellent,Excellent quality at a great price…and no having to traipse around the expensive supermarkets!,Date of experience: 26 February 2023,Rated 5 out of 5 stars,15-Mar-23,Thank you so much for taking the time leaving us a review. We always love to hear positive feedback,We Deliver Fresh,4.9
5 reviews,Janet Hunter,GB,09-May-23,Good service always on time quality food,,Date of experience: 07 May 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
7 reviews,Mark,GB,08-Jun-22,Absolutely brilliant company,"Absolutely brilliant company, great products and the delivery drivers are so polite",Date of experience: 08 June 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
9 reviews,Mrs Dixon,GB,23-Jun-23,Excellent service,Excellent service.  Parsnips not so good.  Fruit Excellent,Date of experience: 21 June 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
5 reviews,David plowes,GB,07-Dec-21,Absolutely perfect produce delivered…,Absolutely perfect produce delivered always in the allocated time. Keep it up.,Date of experience: 07 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Kelly Hancox,GB,11-Mar-23,Great service,"Great service, food is always excellent and friendly delivery people",Date of experience: 10 March 2023,Rated 5 out of 5 stars,15-Mar-23,Thank you so much for taking the time leaving us a review. We always love to hear positive feedback,We Deliver Fresh,4.9
5 reviews,customer Gary955i,GB,26-Sep-23,Fresh,"Fresh, local, and pleasant people to deal with",Date of experience: 25 September 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,Mel,GB,17-Jul-22,Great service as always,Great service as always. Lovely fresh produce.,Date of experience: 16 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Pippa,GB,23-Jan-22,Excellent service,Excellent service. Delivered during the time allocated. Cakes were delicious! Thank you!,Date of experience: 23 January 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
6 reviews,Ayesh Watts,GB,09-Dec-21,Always great service,"Always great service,  excellent fresh produce,  good value and quick delivery. Never disapppinted.",Date of experience: 09 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
8 reviews,Happy dog,GB,03-Dec-21,Lovely fresh food.o,"Lovely fresh food.. and nearly all paper or card packages..
Thank you again.. I have used them loads of times",Date of experience: 03 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
4 reviews,P Tysall,GB,08-Jul-23,Briiliant good quality and good service,,Date of experience: 06 July 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Customer,GB,07-Feb-22,Great service and price,"Fab, can't fault it at all. Everything was lovely and fresh, well recommend and use again ????",Date of experience: 07 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
14 reviews,Carolina McFadyen,GB,04-May-22,The best!!,The best!! Fresh vegetables and very good service!,Date of experience: 04 May 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Mark Bush,GB,17-Nov-21,Deliver when say and the produce is…,Deliver when say and the produce is great.,Date of experience: 17 November 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
9 reviews,J Day,GB,01-Dec-22,Outstanding,I got the big Christmas veg box and 3 lamb steaks. OMG that meat was to die for. The veg so fresh mmmmm... can't fault it at all.,Date of experience: 26 November 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
22 reviews,BLYTH,GB,12-Dec-22,Delivery on time with no problem,,Date of experience: 12 December 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
8 reviews,Brian Marsh,GB,10-Mar-22,QUICK DELIVERY AND GOOD QUALTY PRODUCE,,Date of experience: 10 March 2022,Rated 5 out of 5 stars,11-Mar-22,"Thanks for the quality feedback Brian, much appreciated.",We Deliver Fresh,4.9
3 reviews,Andrew Bradbury,GB,24-Jan-23,The different varieties of fruit there…,The different varieties of fruit there was,Date of experience: 17 January 2023,Rated 4 out of 5 stars,,,We Deliver Fresh,4.9
11 reviews,Gordon,GB,11-Oct-23,Easy to order,"Easy to order, all very fresh, would use again.",Date of experience: 02 October 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
5 reviews,Customer,GB,23-Dec-22,Was as expected good service as always,,Date of experience: 23 December 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Laura Abigail,GB,09-Jul-22,Lovely fresh veg boxes delivered on…,Lovely fresh veg boxes delivered on time.  Great service!,Date of experience: 09 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
16 reviews,Linda Bell,GB,02-Jul-23,As always brilliant,"As always brilliant
Paul is the best",Date of experience: 29 June 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
21 reviews,jo meehan,GB,01-Feb-23,As always great customer service and…,As always great customer service and great produce,Date of experience: 01 February 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Weronika,GB,24-Nov-22,Fresh food and fast delivery,,Date of experience: 23 November 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
21 reviews,Bettina Cowell,GB,13-Dec-22,Fantastic every time fresh,,Date of experience: 13 December 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Glenda,GB,06-Feb-22,Great service and good quality food,,Date of experience: 06 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Nick,GB,04-Apr-23,Always top notch service would recommend,,Date of experience: 26 March 2023,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
3 reviews,Deborah,GB,01-Feb-22,Fabulous as always,"As always, great service, great products and great prices",Date of experience: 01 February 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
15 reviews,Helen  Wright,GB,20-May-22,Always good quality fresh produce,,Date of experience: 20 May 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Gwyn McFadyen,GB,16-Dec-21,On time,"On time, polite and helpful",Date of experience: 16 December 2021,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
2 reviews,Patricia,GB,15-Jul-22,Just amazing as always.,,Date of experience: 15 July 2022,Rated 5 out of 5 stars,,,We Deliver Fresh,4.9
