Bakery Name,Overall Rating,Review Date,Location,Review Text,Reviewer Name,Star Rating
Barbakan Delicatessen,4.8,17-Sep-11,"Bellevue, United States","I headed back to Chorlton's infamous Polish deli today to pick up some ingredients for buffet Sunday. (Disclaimer: I will eventually get the Sunday roast right, I know it's all in the timing, but at least with my homemade buffet I can always pre-prep stuff...) The plan was to make a quiche and some bruschetta as well as a number of other things I'd be picking up for elsewhere. I was pretty much open. I hopped into Barbakan looking for guidance. And guidance was what I found.

I wandered past their delicious looking and smelling barbecue in the market for three things - bread, cheese and chorizo. I was contemplating their potato and rosemary loaf again but I actually clocked a bread there was only one left of... good sign if ever there was one, hmm? Needless to say it was chockfull of pecorino cheese, olives, sundried tomatoes and herbs, and I simply couldn't resist nibbling a chunk as I waited for the bus later on. Meanwhile once I had my bread I told the gent (who offered to slice it too) I was picking up a few more things, and he said, 'That's fine, I'll serve you all the way round.' You stay with one server! That's most comforting. And I started harping on about the quiche, and he sought the advice of his coworker who recommended a raclette. Sold. I also picked up a strong cheddar for the bruschetta and even got some hints re: what to pop in the quiche - my server's companion insisted that walnuts are a must. The proof will be in the eating tomorrow, but I can assure you it - smells - AMAZING.

Two cheeses, a giant loaf and some amazing chorizo (okay, I'm not an expert but I trust these guys!) at less than a tenner, with money going into the pockets of a great local business. Now that I've found a bus route that goes from right outside my flat to the edge of Manchester Road, I'll be finding plentiful excuses to become a regular here! Note to self: go for breakfast and try their coffee. Next time for sure.",Emma Louise M.,5 star rating
Barbakan Delicatessen,4.8,22-Nov-12,"Seattle, United States","With so many great things going for this store, it's hard to know where to start...*Spins the wheel*Chronological order it is!You'll start off walking down the street, minding your own business, when you get the sixth sense-style of tingle letting you know something magical is happening nearby.  This is followed by the enticing aroma of freshly baked bread.  It doesn't matter if it's morning, afternoon, or at 3 in the morning, you WILL smell the bread (I like to imagine there are several elves working throughout the night, of the Keebler variety, but more likely it's the proofing dough).  If you're walking by on a Saturday morning, you'll instead get a punch to the nose by the smell of delicious sausages being grilled up front, served on a bun.  WARNING: unless you are a vegetarian (and in some cases, even then), exposing yourself to this smell WILL result in the immediate consumption of massive amounts of sausage, followed swiftly by meat nirvana.So now, unable to control your movements, you have walked to the open air grill and ordered one of the many varieties of sausage they offer.  If you're particularly hungry, you'll wind up with some potatoes, beans, or stew/curry of some sort on your plate as well - don't worry, this is normal, and next time you come you'll find some items may have changed.  You wait for a few minutes so they can get it juicy and cooked perfectly.  It will feel as if two lifetimes have passed, but worry not, for in this land of bliss and happiness we never age, and the expert chefs are making your ambrosia to order.At this point, the cook has handed you a perfectly cooked sausage in a roll.  You have the choice to devour it all right there as people stare at you awkwardly (my usual choice of consumption), or you can act civilised and walk to the front area where they have plasticware, napkins, and a large selection of sauces to coat your brunch with.  Feel free to use these sauces if the taste of pure awesomeness is too much for you and you need to have it diluted.  Now grab your grub, being careful to tuck it under an arm to prevent the people in line from stealing it, and walk to one of the patio tables.  Sit down, soak up some sun (if available that day), and enjoy your breakfast/brunch/lunch.  Repeat as needed.Now thoroughly satisfied (or, if it's not a Saturday morning and you haven't been distracted by the grill), your attention turns to the actual store.  Through the windows, you see massive amounts of people, and assorted delicious-looking foodstuffs.  As you wander inside, the aroma guaranteeing you that this is a safe haven and no bad can come here, you'll find a wide variety of high-quality groceries.  These can be pricey, but it's worth the cost if you can muster the dough (pun!).  The main point of activity will be the counter with people clambering for priority.  This is your next destination.  Go into queue, and buy bread.  Don't ask me what kind - they'll have something you love, whether it's brioche, wheat, or one of several varieties of sourdough, they have TONS of choices.  They also have plenty of snacks to choose from - I usually end up with a handful of scones as well.Now head home with your bag full of goodies, and enjoy!  Return weekly to get your fill of bakery goodness.",Garrett P.,5 star rating
Barbakan Delicatessen,4.8,07-Jul-12,London,"I have a soft spot for places that sell quality bread, meat, and cheeses and my, oh my, was I pleased to walk into this place (and in Manchester, England of all places). The fact that England, with its notorious reputation for their cuisine, conjured up a wonderland such as this makes me think twice about our ancestors across the Atlantic. Though the odds of finding a nice sunny day to use their patio out front are slim to none in this country it shouldn't stop you from trying out this incredible gem. Did I mention they have awards? Best bakery of 2011, among other various awards. Tourists of all kinds who are seeking something beyond what you know I urge you to go to this delicatessen.

Centered around Polish meats and breads, this delicatessen is staffed with at least one or two knowledgeable employees in each section. A simple rectangular shop with no flashy flaunt, one wall is devoted entirely to bread of the freshest and most gorgeous kind. If carbohydrates are your weakness then, lord, this is the arrow to your Achilles heel. Another wall is a shrine to cured meats and cheeses, and I nearly fell to the floor in worship. Unpasteurized cheese, my queen, my goddess and yet my malicious mistress that is so unfortunately missing in my home country. Much like my many reviews of Star Provisions and Marche Jean-Talon, this Delicatessen is a home to all foodies who enjoy a good market with high quality food.

Here's the amazing thing, it's much cheaper than I thought it would be. Unlike Whole Foods and Star Provisions for 100 grams of three types of meats, and two different types of cheese it only came out to about £10. I was very happy to hear this as normally I spend over $20 at Star Provisions for only two cheeses. Tourists and foodie tourists alike, be sure to stop by here and try not to lose your head. England: Bad food, worse weather? The weather may be holding up to the stereotype but definitely not the food.",Christine L.,5 star rating
Barbakan Delicatessen,4.8,14-Mar-12,"Brookline, United States","A bit of heaven on earth. I used to live on the apartment above Barbakan. You started to smell the bread by 5:30am. I am hungry just taking about it now. This is a must stop for bread lover.

Missing the gorgeous you since 2007.",Bobby C.,5 star rating
Barbakan Delicatessen,4.8,25-Apr-10,Manchester,"Fooodie fooodie fooodie heaven this is..... this deli serves treats from all over Europe. imagine you are cooking and you want to add bit of X-factor to that dish, come to Barbakan and you are more than likely to find something that is the icing on the cake.

This place is chock a block with a mouth watering range foods from spicy sausages, smoked meats, pates, olives and continental cheeses to a yumumyumungusss selection of cakes and pastries. I personally recommend polish cheese cake yowza that hit the spot when I had it yizerrr....

Throw in the fresh pasta, sauces, jams and a medley of other delights, and you're on to a winner surely......So tell me one thing, what the hell are you doing, go get yourself some!!!!",Rana M.,5 star rating
Barbakan Delicatessen,4.8,09-May-16,Manchester,"This place alone makes me want to live in Chorlton. It has so many delicious looking treats ranging from sweet to savory that there's really something for everyone. I fancied something sweet so chose the coconut macaroon from the array of enticing looking baked goods. It was one of the best macaroons iv eaten. Although, if you were after something savory they have a wide selection of deli meats and cheeses which all look appealing and I hear they make a mean sandwich. We sat in the shop to eat and drink at the high tables whilst looking out of the window to people watch. For the sunnier days there's also plenty of outdoor seating.",Parvinder H.,5 star rating
Barbakan Delicatessen,4.8,16-Nov-09,"Trafford, Greater Manchester","How do I start to translate my feelings both physically and mentally for the first deli i lost my heart to!!?? If capable of putting forward the quality of words needed my review would read more like a love letter. Still, I unashamedly wish the inhabitants and visitors of Manchester to take some precious time out of their lives to visit the greatest deli in this City and indeed quite possibly the Northwest. If you have not already stepped onto its hallowed ground, you may think me over-the-top, but all those who have (and form part of the small queue that is ever present) and like me really do travel from miles around to stock up on staples like rye bread flavoured with caraway seeds - a heavenly addition to Sunday mornings BLT, or even the unique chocolate bread that has tempted many a follower of Barbakan, they all know it something very special.

There is always an extraordinary and far flung sourced selection of cheeses, meats, cakes, pate's, salads and not forgetting its 50 different types of bread that form just the basis of what is available. The Polish roots of this family run business shine through and would be instantly recognisable to most old school Europeans who would feel right at home in old blighty upon a visit here, but what amazes me most is that in 40 years of business this background and tradition has filtered down to create a plethora of new interesting incarnations of traditional recipes that you will definitely not find anywhere else in Manchester!!

Like i said, this place truly is special and seeing is believing.",Alison B.,5 star rating
Barbakan Delicatessen,4.8,17-Jul-08,"Mainz, Germany","Harking back to that continental holiday? Fed up with your usual loaf from Tesco's? Looking for some cheese you haven't tried before?


Well, if you live in (South) Manchester, why not try Barbakan Delicatessen? Bread from their own bakery, cheeses from all over Europe and sausages and cold meats that are the real McCoy. And if you can't wait until you're back home, they'll make a sandwich or filled roll for you right away",Qype User (Matthi…),5 star rating
Barbakan Delicatessen,4.8,03-Feb-10,Manchester,"Situated in the bustling heart of Chorlton, the Barbakan is quite simply one of the best independent deli's in the North West of England - a fact which has not gone unnoticed, seeing as it recently won the Manchester Food and Drink Festival's ""Best Food and Drink Retailer"" award.


Brimming to the seams with delicious goodies, this is the place to go for sumptuous, silky cheeses, exotic looking cold cuts, and a range of salads which are so delicious that I'd gladly bankrupt myself in order to eat my own bodyweight in them each and every day.


OK, so you may have to pay that little bit extra for a loaf of bread - but wow, what bread! Baked on the premises by a team of master bakers, each and every baked good which comes out of that shop is a delight to the senses. Indeed, after one bite of their rye bread, you'll want to chuck that supermarket loaf out of your nearest window.


The best time to visit is undoubtedly on a Saturday when they host a regular barbeque on their patio, serving up an amazing array of grilled meats. I highly recommend the Chorizo, served up in a soft white hot dog roll. And the Lamb and Rosemary sausage with red onion jam. And the Polish Kielbasa with extra garlic, smothered in hot mustard. And well...pretty much all of it really! Like its food, this is a Chorlton gem to savour.",Qype User (MissCa…),5 star rating
Barbakan Delicatessen,4.8,01-Mar-16,Manchester,The rich dark chocolate cake is LITERALLY the best thing. EVER.,Charlotte M.,5 star rating
Barbakan Delicatessen,4.8,12-Mar-08,Manchester,"Another visit to this superb deli was long overdue by the time I entered Barbakan in Chorlton this weekend.
Having family up and in the area, I thought it wise to grab some deli supplies for a planned evening meal at home.
According to the history bumf, Barbakan derives it's name from a market place in Krakow, Poland and appears to have landed in Chorlton over 40 years ago.


As I drew near the place I could already sniff out some fine food business going on: lo and behold they have an outdoor cooking situation on Saturdays! Freshly cooked, lovely sausages in a roll and fried potatoes. The second coming for anyone servicing a cheeky hangover I'm quite sure.
Once inside you're presented with a mighty range of 'interesting' food. It's a bit like the Selfridges food hall but marginally cheaper: I say marginally because, to be honest, many of the items are quite pricey. A lot of the Italian range I saw in Italy recently for a fraction of the cost. If you're sensible about it and not get too wide eyed over the continental fare then you'll ultimately think better of the place.
However it's the breads in this deli which set it aside. It won an award (one of many actually) a year or so back for Best Deli in Britain which tells you this is a well respected place.
Offering over fifty different kinds of breads (freshly baked, made with no animal fats therefore vegetarian friendly), a large majority of which I had never heard of, I find it a struggle to choose and often end up in a yeast like state of panic.
Fortunately the staff (mostly Polish themselves) are on hand to help you pick out a bread.
I picked up French sour bread and Marathon bread (partly made with apricots) both of which lived up to expectations. I missed out on the Belgian chocolate bread one for next time.
They make breads for most of the top restaurants and the likes of the aforementioned Selfridges.
I couldn't pass the cold cut counter without grabbing something different to add to the table later on. Come on down 'chicken with aspic' slices. Resembling a facial prosthetic from a George A Romero flick it turned out to be rather tasty: an eloquent slither of textured, free range gherkin I'd describe it as.


Wonderful place.a shrine to god of bread.",Qype User (Paulo_…),4 star rating
Barbakan Delicatessen,4.8,22-Aug-18,"Twelveheads, Cornwall","smells proper good, thing that gets me up in the morning for school as i walk past. the smell as you walk past on your way to work or school is the best experience. tastes proper good.",Lydia S.,5 star rating
Barbakan Delicatessen,4.8,01-Nov-07,Manchester,"Always busy, multi award winning continental bakery.
The cakes and pastries made here are delicious, and the shop stocks a wide variety of unusual food stuffs.
It's one downside is that the only seating area is outside on a busy road.",Qype User (mollju…),5 star rating
Barbakan Delicatessen,4.8,04-Nov-11,Failsworth,"I always remember this place being way better than it is. Now I'm not saying its rubbish because it is far from that. It's just everywhere you go in Manchester and ask where they get their bread from they say the Barbakan, so I often take a trip over to see their huge selection, buy some and it's never as good as I wish it was. But again, it is still good. I just have high expectations. Very high.
So this time we purchased roast potato and rosemary bread which was awesome! Especially with the proper smelly Camembert we bought from the cheese counter. Also the rye bread with apple and pumpkin seeds, now I'm not sure if we were just given rye bread but our loaf had no trace of apples and about three pumpkin seeds in it.
The shop itself is massive and always surprises me how much space they have, The thing I can;t get used to is the ticket system thing. Never have, never will. Sometimes they use it, sometimes they don't.
The deli counter looked amazing with the various salads to choose from and millions of cheese and meats. But how are you meant to decide? I mean really though? We couldn't decide on more than the smelly Camembert and some Gouda from Amsterdam. And then on the drive home ""we should have got some salads"" ""we should have got some meats"". Oh well.
Overall experience was good, but disorganised when it came to being served. The other thing that bugged me was there weren't any signs on the cakes to know what is what without asking.
For a bakery with a reputation like this one, prices are fabulous!
Its a bakery / deli well worth visiting and its probably very easy to do your weekly shop in there.",Grace R.,4 star rating
Barbakan Delicatessen,4.8,08-Sep-14,London,"I came here because I was intrigued by the positive reviews from other yelpers but honestly I was disappointed with my coffee-to-go and the doughnut (special breakfast offer for £2.40).

The doughnut was dry and it was very bland. I have tasted better ones before...
However, my cappuccino was just milky and hardly any coffee flavour -probably just one shot but you could taste that it was a cheap coffee brand.

The only positive thing that they have a big outdoor seating area.

I won't come here again for a cup of coffee - sorry guys!",Ash S.,3 star rating
Barbakan Delicatessen,4.8,18-Feb-14,Gt Man,"Yum! Fantastic range of breads, meats and cheeses. Great for a quick sandwich during the week. Gets busy but well worth the trip.",John P.,5 star rating
Barbakan Delicatessen,4.8,03-Sep-14,"Oldham, Greater Manchester",This place is my heaven! wow where to start!... On weekends during the summer months they have an open BBQ serving tremendous food! Home baked breads and fresh cured meats along with lots of different  herbs and spices! If your looking for something a little different to your normal asda or tescos then this place is well worth a trip down Into Chorlton for! Whilst in Chorlton why not pop into one of it's many bars or cafés!,Matt S.,5 star rating
Barbakan Delicatessen,4.8,10-Mar-11,London,"I am so lucky that my Manchester friend practically lives opposite Barbakan. The Jewish cheesecake with raisins is just so fantastic, and now that I have discovered it freezes really well I take a big chunk of it back to London. The bread is amazing too, my favourite is the pecan date loaf and the hot cross buns - and they do really good cheeses and hams. But for me, the cheesecake is the big draw. Perfect. I've brought back some to London with me just now, as it happens...",felicity s.,5 star rating
Barbakan Delicatessen,4.8,19-Sep-08,Manchester,"The best deli in Chorlton, family business- they know their stuff! Yummy bagels, cakes, deli produce and more! Easily reached by the 86 bus from piccadilly and opposite unicorn",Qype User (Skinti…),5 star rating
